quesition,answer,quewstion_korean,number
We achieved our sales targets this month.,That's excellent news!,우리는 이번 달 판매 목표를 달성했어요.,1회-17
Would you be interested in working on some of these contracts?,I have very limited time.,이러한 계약 중 일부를 맡아서 하실 의향이 있나요?,1회-30
When is the new blender going to be released?,The prototype is still being tested.,새 믹서기는 언제 출시될 예정이죠?,1회-23
How old is this building?,About ten years old.,이 건물은 얼마나 오래됐나요?,1회-7
Will you contact the vendor about changing our delivery date?,"Of course, I'll take care of it.",저희 배송일 변경에 관해 판매업체에 연락하실 건가요?,1회-10
Why are we moving these sweaters to the back of the store?,Our spring merchandise is arriving soon.,왜 이 스웨터들을 매장 뒤편으로 옮기는 건가요?,1회-29
Which apartment submitted a work order?,It came from the tenants in B23.,어떤 아파트가 작업 지시서를 제출했죠?,1회-9
What type of job are you looking for?,I really like working with computer.,어떤 종류의 일을 찾고 계세요?,1회-31
We should hike the Wildflower Trail today.,I didn't bring boots.,우리 오늘 야생화길 하이킹하면 좋겠어요.,1회-19
Are there any tickets left for tonight's concert?,It's sold out.,오늘 밤 음악회 입장권 남은 거 있나요?,1회-21
Haven't you used this software before?,I haven't had the chance.,이 소프트웨어를 전에 사용해 본 적 없으신가요?,1회-22
Where will I teach my workshop this month?,We just sent an e-mail to all instructors.,저는 이번 달에 어디서 워크숍을 진행하죠?,1회-28
"You've booked a hotel in London, haven't you?","Yes, I made a reservation last week.","런던에 호텔을 예약하셨죠, 그렇죠?",1회-20
Did management make a hiring decision yet?,"Yes, they chose Jacob Borgman.",경영진이 이제 채용 결정을 내렸나요?,1회-12
Do you want to eat here in our cafeteria or go out?,Let's eat here.,"여기 구내식당에서 먹고 싶으세요, 아니면 나가서 먹고 싶으세요?",1회-13
This film has been nominated for several awards.,Why don't we go see it?,이 영화는 여러 수상 후보에 올랐어요.,1회-26
Why was the maintenance worker here?,Because a light needed to be fixed.,유지보수 인부가 왜 여기 왔었나요?,1회-11
Who's picking up our clients at the airport?,They decided to drive.,누가 공항에서 우리 고객을 모셔올 예정이죠?,1회-24
How often do you travel for your job?,About once a month.,출장을 얼마나 자주 가세요?,1회-18
Can you come to my jazz performance tonight?,"Sure, I'll be there!",오늘 밤 재즈 공연에 오실 수 있어요?,1회-8
Didn't you e-mail the employment contract to Mr. Patel yesterday?,"No, I'll send it now.",어제 파텔 씨에게 이메일로 고용 계약서를 보내지 않으셨어요?,1회-14
"Our division's picnic is this Saturday, right?",There's a lot of rain in the forecast.,"우리 부서 야유회가 이번 주 토요일이죠, 그렇죠?",1회-15
Who's interested in starting a car pool program?,Clara's already organizing one.,누가 카풀 프로그램을 시작하는 데 관심이 있죠?,1회-27
Where are the red roses that came in this morning?,I needed some for a large bouquet.,오늘 오전에 온 빨강 장미꽃은 어디 있나요?,1회-25
Would you like coffee or tea?,"Just water, please.","커피 드릴까요, 차를 드릴까요?",1회-16
How was the color palette for the lobby chosen?,I wasn't involved.,로비의 색상 조합은 어떻게 선택됐나요?,2회-20
When are we ordering more supplies for the office?,Next week on Monday.,사무실 용품은 언제 더 주문해요?,2회-21
Has the policy meeting been rescheduled?,"Yes, it's happening tomorrow instead.",정책 회의 일정이 변경됐나요?,2회-13
How much will the budget increase next year?,About 10 percent.,내년에 예산이 얼마나 오를까요?,2회-8
How much will the repairs cost?,The work is covered under the warranty plan.,수리 비용은 얼마나 들까요?,2회-28
